DELITOS;DESCRIPCION;COD;MINIMO;MAXIMO;PRESAÑO;PRESCRIBE
PROV IL POR ERROR EN SECU;PROVECHO ILICITO POR ERROR AJENO PROVENIENTE DE SECUESTRO O EXTORSION ART. 12 LEY 282 DE 1996;333;5;15;15;5477
PROVOCACION DE INUNDACION;352;273;1;10;10;3652
REBELION;467;131;5;9;9;3287
RECEPTACION;447;012;2;8;8;2922
RECLUTAMIENTO ILICITO;162;;6;10;10;3652
REINGRESO ILEGAL AL PAIS;REINGRESO ILEGAL AL PAIS ART 185 C.P.;013;6M;2;5;1826
REPETIBILIDAD DEL SER HUMANO;133;;2;6;6;2191
REPRESALIAS;158;;2;5;5;1826
REVELACION SECRETO;418;040;MULTA;;5;1826
SABOTAJE;199;151;1;6;6;2191
SECUESTRO EXTORSIVO;169;152;18;28;20;7305
SECUESTRO SIMPLE;168;153;10;20;20;7305
SEDICION;468;133;2;8;8;2922
SEDUCCION USURPACION Y RE;472;230;4M;2;5;1826
SIMULACION DE INVESTIDURA;426;041;MULTA;;5;1826
SINIESTRO O DAÑO DE NAVE;354;275;1;7;7;2557
SOBORNO;444;014;1;5;5;1826
SOBORNO TRANSNACIONAL;433;;6;10;10;3652
SUMINISTRO A MENOR;381;057;6;12;12;4383
SUMINISTRO FORMULAC ILEGAL;380;056;1;3;5;1826
SUMIS DE INF EN SECUESTRO;SUMINISTRO DE INFORMACION EN SECUESTRO ART. 10 LEY 282 DE 1996;332;15;30;20;7305
SUPLATANCION DE AUTORIDAD;INCITACION A LA COMISION DE DELITOS MILITARES ART. 21 DEC.  180 DE 1988;135;5;10;10;3652
SUPRESION ALTERACION O SU;238;065;1;5;5;1826
SUPRESION DE SIGNO DE AUN;283;082;MULTA;;5;1826
SUSTRACCION BIEN PROPIA;254;187;MULTA;;5;1826
SUSTRACCION COSA PROPIA CUMPLIMIENTO DEBERES;309;;1;3;5;1826
TENECIA FABRICACION Y TR;358;277;3;8;8;2922
TENTATIVA HOMICIDIO;;;;;0;0
TERRORISMO;343;136;10;15;15;5477
TESTAFERRATO;326;093;6;15;15;5477
TOMA REHENES;148;;20;30;20;7305
TORTURA;178;154;8;15;30;10957
TORTURA EN PERSONA PROTEGIDA;137;;10;20;20;7305
TRAF MONEDA FALSIFICADA;274;083;3;8;8;2922
TRAF POS DE MATERIAL RADIOACTIVO;363;;2;6;6;2191
TRAF SUST. PARA PROCESAMIENTO NARCOTICOS;382;;6;10;10;3652
TRAF. ELM. DESTINADOS A FALSIFICACION MONEDA;275;;3;6;6;2191
TRAFIC FABR PORTE ESTUPEF;376;059;8;20;20;7305
TRAFICO DE MENORES;TRAFICO DE MENORES ART.265 C. MENOR D.L.2737 DE 1989;217;1;5;5;1826
TRAFICO DE PERSONAS;188;;6;8;8;2922
TRAFICO INFLUENCIAS;411;042;4;8;8;2922
TRAICION DIPLOMATICA;457;251;5;15;15;5477
TRATA DE PERSONAS;215;171;4;6;6;2191
TRATO INH DEGRAD EN PERS. PROT;146;;5;10;10;3652
TURISMO SEXUAL;219;;3;8;8;2922
ULTRAJE A SIMBOLOS PATRIOS;461;252;MULTA;;5;1826
URBANIZACION ILEGAL;318;;3;7;7;2557
USO DE DOCUMENTO PUBLICO;291;084;2;8;8;2922
USO ILEGITIMO DE PATENTES;307;188;1;4;5;1826
USO Y CIRCULACION DE EFEC;284;085;MULTA;;5;1826
USURA;305;189;2;5;5;1826
USURPAC MARCAS Y PATENS;306;190;2;4;5;1826
USURPACION DE AGUAS;262;210;1;3;5;1826
USURPACION DE FUNCIONES P;425;043;1;2;5;1826
USURPACION DE TIERRAS;261;211;1;3;5;1826
UTIL MEDIOS Y MET. DE GUERRA ILICITOS;142;;6;10;10;3652
UTILIZACION DE ASUNTO SOM;419;044;MULTA;;5;1826
UTILIZACION IL. EQUIPOS TRANSM. Y RECEPT.;197;;1;3;5;1826
UTILIZACION ILEGAL DE UNI;346;139;3;6;6;2191
UTILIZACION ILICITA DE EQ;UTILIZACION ILICITA DE EQUIPOS TRASMISORES O RECEPTOR ART. 16 DEC 180 DE 1988;140;3;6;6;2191
UTILIZACION INDEB DE FONDOS;314;214;2;6;6;2191
UTILIZACION INDEB DE INFLUENCIAS DERIVADAS DEL CAR;432;;MULTA;;5;1826
UTILIZACION INDEB DE INFORM OFICIAL PRIV;420;;MULTA;;5;1826
UTILIZACION INDEB DE INFORM PRIV;258;045;MULTA;;5;1826
UTILIZACION INDEB DE INFORM PRIV OBTENIDA EN CARGO;431;;MULTA;;5;1826
VIOL SEXUAL ENTR CONYUGES;VIOLENCIA SEXUAL ENTRE CONYUGES ART- 25 LEY 294 DE 1996;329;6M;2;5;1826
VIOLAC ILIC. COMUNICACIÓN OFICIAL;196;;3;6;6;2191
VIOLAC MEC PROTEC.DCHOS AUTOR;272;;MULTA;;5;1826
VIOLAC RESERVA INDUSTRIAL;308;191;2;5;5;1826
VIOLACION DCHOS MORALES DE AUTOR;270;;2;5;5;1826
VIOLACION DCHOS REUNION;200;157;MULTA;;5;1826
VIOLACION DE DERECHOS POL;VIOLACION DE LOS DERECHOS POLITICOS ART. 293 C.P.;155;6M;;5;1826
VIOLACION DE FRONTERAS PA;329;253;4;8;8;2922
VIOLACION DE INMUNIDAD DI;VIOLACION DE INMUNIDAD DIPLOMÁTICA ART. 121 C.P.;254;5;15;15;5477
VIOLACION DE LA LIBERTAD AL TRABAJO;198;;MULTA;;5;1826
VIOLACION DE MEDIDAS SANI;368;283;1;3;5;1826
VIOLACION DE TREGUA O ARM;464;255;1;5;5;1826
VIOLACION EN LUGAR DE TRABAJO;191;;MULTA;;5;1826
VIOLACION HABITACION AJENA;189;;MULTA;;5;1826
VIOLACION HABT AJENA POR SERVIDOR;190;;MULTA;;5;1826
VIOLACION ILICITA DE COMU;192;159;1;3;5;1826
VIOLACION LIBERTAD RELIGIOSA;201;;1;2;5;1826
VIOLACION REG LEGAL INHABILIDADES;408;046;4;12;12;4383
